tweet,tweet_url
@bagaskara645y @logikapolitikid Anies sama Prabowo klo Anies kalah mereka ke Prabowo klo Prabowo kalah mereka ke Anies kelompok mereka kaya parasit,https://twitter.com/RivaldiFaza/status/1723128004816293951
@yuwantino12 @logikapolitikid @ganjarpranowo Klo Anies kalah mereka ke Prabowo klo Prabowo kalah mereka ke Anies yah ibaratnya kaya parasit hrus cri inang yg pas biar bsa di kontrol,https://twitter.com/RivaldiFaza/status/1723127623927427530
"@PS_presiden2024 Sebelum menjagokan pilihanya, coba cari sumber yg bagus. Ganjar, Anies, Prabowo dalam menyampaikan visi misinya seperti apa.dari sanalah kita bisa menetukan pilihan dengan bijak.jangan melihat mereka hanya dari 1 sisi aja. Ini bt kepentingan semua umat, bukan bt segelintir orang.",https://twitter.com/surpa_i/status/1723125911015584031
"Peta Elektabilitas Terkini: Prabowo-Gibran Unggul, Anies dan Ganjar Terlibat Persaingan Ketat https://t.co/CCTTcjeD80",https://twitter.com/zonajakarta1/status/1723124952898195528
@KrisyantoOni Anies dan Prabowo capres jalur independen ya?,https://twitter.com/enkaeriharmat/status/1723124795355824433
"Peta Elektabilitas Terkini: Prabowo-Gibran Unggul, Anies dan Ganjar Terlibat Persaingan Ketat https://t.co/lelzib8XgZ",https://twitter.com/RagamIndones1a/status/1723124559761867089
"Adu gagasan 3Capres mnurt penilaian ekonom UI Ibu Ninasapti Triaswati : Prabowo Ganjar yg ada hnya program tnpa hasil yg nyata sdangkan Pak Anies lbh realistis dg program yg jelas &amp pencapaian hasil akhirnya lbh nyata."" WHY NOT THE BEST!! https://t.co/icADASHyPc""",https://twitter.com/Malika6027/status/1723123874659962891
"@are_inismyname @jokowi @prabowo @99propaganda @Ndons_Back @bengkeldodo @P4P4B0W0_2024 @Zero8ok @AndreasSolusi @AlmaghribiS @adri_7i @DarekaRendy Mari kita dukung Prabowo, jangan lupa 14 Februari coblos Anies",https://twitter.com/PoernoAdiNug/status/1723122977884279135
@Tan_Mar3M Jni pertanyaan jebakan...klu berpengalam jadi capres yg prabowo 4 X dengan tahun ini..klu yg patut dan pantas jadi presiden ya Anies,https://twitter.com/BumiOfai/status/1723122796518334479
@DoankWarto Sakit hatinya ke prabowo tapi nyerangnya ke anies. Cucu kakek ini tololnya luar binasa https://t.co/PbFOGs5AgN,https://twitter.com/enddrue/status/1723122678339653804
